bay_id,rd_seg_dsc,lat,lon
1873,Grattan Street between Drummond Street and Lygon Street,-37.8149211,144.9568926
2585,Cardigan Street between Keppel Street and Lytton Street,-37.81391239,144.9566306
5983,Birdwood Avenue between Dallas Brooks Drive and Domain Road,-37.8098916,144.9630752
6092,St Kilda Road between Commercial Road and Moubray Street,-37.82011525,144.9431518
2130,Pitt Street between Canning Street and Rathdowne Street,-37.80915109,144.9655784
6703,Dryburgh Street between Adderley Street and Ireland Street,-37.80830032,144.9716342
1276,Rathdowne Street between Neill Street and Princes Street,-37.81355506,144.9545508
1320,Barkly Street between Canning Street and Rathdowne Street,-37.81540395,144.957954
5317,Lorimer Street between West Gate Bridge and Todd Road,-37.82923534,144.9710373
2570,Palmerston Street between Rathdowne Street and Drummond Street,-37.81354329,144.9579401
1353,Drummond Street between Grattan Street and Faraday Street,-37.81249123,144.9566281
5921,Abbotsford Street between Elm Street and Queensberry Street,-37.80281691,144.9674134
2005,Palmerston Street between Canning Street and Rathdowne Street,-37.8107886,144.9636473
1875,Grattan Street between Drummond Street and Lygon Street,-37.81494018,144.9568258
2373,Dorcas Street between Dodds Street and Kings Way,-37.81404249,144.9565216
6005,Lorimer Street between West Gate Bridge and Todd Road,-37.81991148,144.951548
6503,Hawke Street between Ireland Street and Spencer Street,-37.81443301,144.9375402
2652,Canning Street between Kay Street and Neill Street,-37.80481793,144.9492177
6622,Victoria Street between Curzon Street and Abbotsford Street,-37.81392423,144.9418947
2379,La Trobe Street between Exhibition Street and Russell Street,-37.81395793,144.9561296
811,Keppel Street between Cardigan Street and Swanston Street,-37.8106499,144.9699122
6633,Story Street between Park Drive and Gatehouse Street,-37.81396741,144.9424143
1287,Cardigan Street between Faraday Street and Elgin Street,-37.81295735,144.9540211
8288,Bent Street between Chelmsford Street and Hardiman Street,-37.81256731,144.9709154
6331,Royal Parade between MacArthur Road and Leonard Street,-37.81943019,144.9503876
3204,Navigation Drive between Bourke Street and Collins Street,-37.80746528,144.9543237
974,Grant Street between Wells Street and Dodds Street,-37.81755541,144.964779
3042,Lorimer Street between Westgate Freeway and Hartley Street,-37.80290399,144.9569009
1103,Cardigan Street between Elgin Street and Keppel Street,-37.81457007,144.9605018
2571,Elgin Street between Canning Street and Rathdowne Street,-37.8135519,144.9579106
5373,Vale Street South between Punt Road and Vale Street,-37.81002583,144.9729663
4120,Arden Street between Leveson Street and Errol Street,-37.8037266,144.9510095
765,Lygon Street between Lytton Street and Princes Street,-37.81473779,144.9717907
4406,St Kilda Road between Armadale Street and Commercial Road,-37.80796361,144.9520872
1509,Keppel Street between Cardigan Street and Swanston Street,-37.81964377,144.9560522
2673,Grant Street between Wells Street and Dodds Street,-37.80400184,144.9495507
2452,,-37.81028644,144.9690624
5483,Molesworth Street between Harker Street and Abbotsford Street,-37.81050275,144.97809
6067,Park Street between Mason Street and Randall Place,-37.82093736,144.942935
7863,Haines Street between Abbotsford Street and Dryburgh Street,-37.81772823,144.9585506
8154,Childers Street between Ormond Street and Kensington Road,-37.81670409,144.9807269
3922,Dallas Brooks Drive between Domain Road and Birdwood Avenue,-37.80464842,144.955366
5796,Abbotsford Street between Canning Street and Erskine Street,-37.8152778,144.9760885
3133,Lorimer Street between Westgate Freeway and Hartley Street,-37.81118457,144.9562781
847,Faraday Street between Lygon Street and Cardigan Street,-37.80846071,144.9689077
6188,Kensington Road between Altona Street and Mercantile Parade,-37.82012738,144.9424878
6887,Queensberry Street between Curzon Street and Abbotsford Street,-37.79586753,144.964684
722,Neill Street between Princes Street and Canning Street,-37.80942662,144.9692281
5637,Linlithgow Avenue between St Kilda Road and Alexandra Avenue,-37.80970231,144.9764181
6824,Hall Street between Lorimer Street and Turner Street,-37.79852923,144.9579137
1895,Coventry Street between Dodds Street and Sturt Street,-37.81681242,144.9573901
6483,Anderson Street between Clowes Street and St Leonards Court,-37.81556557,144.936865
